what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269216244721
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1269216247643
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1269216249975
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1269216250636
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269216250994
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269216253250
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269216255671
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269216256204
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.cut",1269216261150
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1269216263922
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1269216302947
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269216303212
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269216305676
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1269216311522
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1269216328410
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269216328672
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269216332249
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1269216334817
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1269216335131
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269216338212
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269216338594
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1269216385800
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1269216386587
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1269216403159
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269216403435
