what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1269215179464
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1269215180868
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1269215181128
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1269215181429
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1269215190236
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269215190635
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269215191735
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269215191985
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269215193186
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1269215197802
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269215198212
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269215199430
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269215199818
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269215201088
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1269215206523
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1269215207423
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1269215221981
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1269215222799
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269215223214
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269215224336
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269215224621
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269215225793
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1269215232323
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1269215232904
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1269215233439
