what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269220447556
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269220563424
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1269220572574
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269220573917
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269220581151
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1269220584117
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269220584364
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269220601221
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1269220612078
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1269220613447
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1269220613994
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1269220626548
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269220640085
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269220641981
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269220642019
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269220642260
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1269220642694
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269220644972
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269220665078
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1269220670666
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269220671102
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269220675621
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1269220679625
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1269220690233
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269220690654
