what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269216152960
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269216153601
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269216154104
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269216154397
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269216160694
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269216161632
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269216162022
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269216164945
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1269216168040
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1269216172596
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1269216177265
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269216184694
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269216185789
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1269216196987
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1269216198360
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1269216198664
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1269216207092
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269216209946
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269216212782
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269216213799
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269216224316
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1269216228324
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269216228714
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269216239703
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269216242990
